bibliotheque,visiteurs_2008,visiteurs_2009,visiteurs_2010,visiteurs_2011,visiteurs_2012,visiteurs_2013,visiteurs_2014,visiteurs_2015,visiteurs_2016
BPLC,0,0,0,0,0,0,0,0,0
ABBA,28426,29142,28606,30306,30720,35767,36555,39379,40586
ALLI,33094,30753,26756,27982,27776,26871,27745,23140,21820
ARLE,56135,48345,46236,53691,53691,47091,45490,47553,40354
BCSI,12807,13058,13058,15006,14478,15018,15611,15620,17408
ECLA,31396,64269,70336,68303,68273,69666,65871,65465,65702
JVEN,15000,22500,23400,23400,23400,19050,26637,32663,32636
HAEN,5000,7500,7800,7800,7800,6350,8879,8037,4700
PREM,8920,12329,12500,0,5658,5092,4968,5200,2600
TEIS,67726,42631,44851,44930,42658,38574,34522,28764,28525
SBRU,62138,62138,50551,46952,54393,53784,51965,33520,41559
BMEI,124404,120427,119614,119550,126079,117252,112585,119305,125943
CEVI,188614,210504,215503,208618,203671,192912,199900,202876,192572
GRPL,216818,203458,164999,155766,184594,187924,180147,175757,173827
