Date,dioxyde d'azote  (µg/m³),Station
2014-02-07,,INSPIRA-MaisonProjet
2017-02-06,,INSPIRA-MaisonProjet
2014-03-01,22,Champ-sur-Drac
2014-04-01,13,Champ-sur-Drac
2014-05-01,8,Champ-sur-Drac
2014-06-01,10,Champ-sur-Drac
2014-07-01,10,Champ-sur-Drac
2014-08-01,9,Champ-sur-Drac
2014-09-01,13,Champ-sur-Drac
2014-10-01,17,Champ-sur-Drac
2014-11-01,28,Champ-sur-Drac
2014-12-01,25,Champ-sur-Drac
2015-01-01,30,Champ-sur-Drac
2015-02-01,31,Champ-sur-Drac
2015-03-01,24,Champ-sur-Drac
2015-04-01,14,Champ-sur-Drac
2015-05-01,10,Champ-sur-Drac
2015-06-01,10,Champ-sur-Drac
2015-07-01,12,Champ-sur-Drac
2015-08-01,9,Champ-sur-Drac
2015-09-01,10,Champ-sur-Drac
2015-10-01,22,Champ-sur-Drac
2015-11-01,29,Champ-sur-Drac
2015-12-01,30,Champ-sur-Drac
2016-01-01,30,Champ-sur-Drac
2016-02-01,20,Champ-sur-Drac
2016-03-01,19,Champ-sur-Drac
2016-04-01,11,Champ-sur-Drac
2016-05-01,8,Champ-sur-Drac
2016-06-01,7,Champ-sur-Drac
2016-07-01,8,Champ-sur-Drac
2016-08-01,7,Champ-sur-Drac
2016-09-01,9,Champ-sur-Drac
2016-10-01,13,Champ-sur-Drac
2016-11-01,19,Champ-sur-Drac
2016-12-01,32,Champ-sur-Drac
2017-01-01,36,Champ-sur-Drac
2017-02-01,22,Champ-sur-Drac
2014-03-01,24,Voiron Urbain
2014-04-01,15,Voiron Urbain
2014-05-01,9,Voiron Urbain
2014-06-01,8,Voiron Urbain
2014-07-01,9,Voiron Urbain
2014-08-01,8,Voiron Urbain
2014-09-01,12,Voiron Urbain
2014-10-01,19,Voiron Urbain
2014-11-01,28,Voiron Urbain
2014-12-01,26,Voiron Urbain
2015-01-01,28,Voiron Urbain
2015-02-01,22,Voiron Urbain
2015-03-01,21,Voiron Urbain
2015-04-01,13,Voiron Urbain
2015-05-01,9,Voiron Urbain
2015-06-01,8,Voiron Urbain
2015-07-01,9,Voiron Urbain
2015-08-01,11,Voiron Urbain
2015-09-01,10,Voiron Urbain
2015-10-01,15,Voiron Urbain
2015-11-01,25,Voiron Urbain
2015-12-01,38,Voiron Urbain
2016-01-01,27,Voiron Urbain
2016-02-01,23,Voiron Urbain
2016-03-01,23,Voiron Urbain
2016-04-01,14,Voiron Urbain
2016-05-01,10,Voiron Urbain
2016-06-01,9,Voiron Urbain
2016-07-01,9,Voiron Urbain
2016-08-01,8,Voiron Urbain
2016-09-01,13,Voiron Urbain
2016-10-01,16,Voiron Urbain
2016-11-01,,Voiron Urbain
2016-12-01,40,Voiron Urbain
2017-01-01,35,Voiron Urbain
2017-02-01,29,Voiron Urbain
2014-03-01,34,St-Martin-d'Hères
2014-04-01,21,St-Martin-d'Hères
2014-05-01,14,St-Martin-d'Hères
2014-06-01,14,St-Martin-d'Hères
2014-07-01,12,St-Martin-d'Hères
2014-08-01,12,St-Martin-d'Hères
2014-09-01,20,St-Martin-d'Hères
2014-10-01,28,St-Martin-d'Hères
2014-11-01,36,St-Martin-d'Hères
2014-12-01,36,St-Martin-d'Hères
2015-01-01,42,St-Martin-d'Hères
2015-02-01,44,St-Martin-d'Hères
2015-03-01,33,St-Martin-d'Hères
2015-04-01,21,St-Martin-d'Hères
2015-05-01,16,St-Martin-d'Hères
2015-06-01,15,St-Martin-d'Hères
2015-07-01,12,St-Martin-d'Hères
2015-08-01,14,St-Martin-d'Hères
2015-09-01,20,St-Martin-d'Hères
2015-10-01,32,St-Martin-d'Hères
2015-11-01,43,St-Martin-d'Hères
2015-12-01,58,St-Martin-d'Hères
2016-01-01,47,St-Martin-d'Hères
2016-02-01,32,St-Martin-d'Hères
2016-03-01,32,St-Martin-d'Hères
2016-04-01,17,St-Martin-d'Hères
