Date,ozone  (µg/m³),Station
2020-03-01,55.9,Champ-sur-Drac
2020-04-01,66.7,Champ-sur-Drac
2020-05-01,65,Champ-sur-Drac
2020-06-01,63.8,Champ-sur-Drac
2020-07-01,74.3,Champ-sur-Drac
2020-08-01,66.3,Champ-sur-Drac
2020-09-01,46.7,Champ-sur-Drac
2020-10-01,36.7,Champ-sur-Drac
2020-11-01,15.7,Champ-sur-Drac
2020-12-01,20.7,Champ-sur-Drac
2021-01-01,27.3,Champ-sur-Drac
2021-02-01,26.2,Champ-sur-Drac
2021-03-01,45.8,Champ-sur-Drac
2021-04-01,61.7,Champ-sur-Drac
2021-05-01,56,Champ-sur-Drac
2021-06-01,64.4,Champ-sur-Drac
2021-07-01,58.3,Champ-sur-Drac
2021-08-01,53.6,Champ-sur-Drac
2021-09-01,41.9,Champ-sur-Drac
2021-10-01,33.4,Champ-sur-Drac
2021-11-01,15.4,Champ-sur-Drac
2021-12-01,17.2,Champ-sur-Drac
2022-01-01,16.6,Champ-sur-Drac
2022-02-01,33,Champ-sur-Drac
2022-03-01,49.1,Champ-sur-Drac
2022-04-01,66.2,Champ-sur-Drac
2022-05-01,70,Champ-sur-Drac
2022-06-01,72,Champ-sur-Drac
2022-07-01,91.4,Champ-sur-Drac
2022-08-01,80.7,Champ-sur-Drac
2022-09-01,49.7,Champ-sur-Drac
2022-10-01,25.5,Champ-sur-Drac
2022-11-01,23.3,Champ-sur-Drac
2022-12-01,13.9,Champ-sur-Drac
2023-01-01,26.7,Champ-sur-Drac
2023-02-01,33.5,Champ-sur-Drac
2020-03-01,56.8,Voiron Urbain
2020-04-01,68.8,Voiron Urbain
2020-05-01,62,Voiron Urbain
2020-06-01,57.7,Voiron Urbain
2020-07-01,71.4,Voiron Urbain
2020-08-01,67.4,Voiron Urbain
2020-09-01,50.5,Voiron Urbain
2020-10-01,25.4,Voiron Urbain
2020-11-01,16.4,Voiron Urbain
2020-12-01,17.3,Voiron Urbain
2021-01-01,23.1,Voiron Urbain
2021-02-01,24.2,Voiron Urbain
2021-03-01,44.1,Voiron Urbain
2021-04-01,64.5,Voiron Urbain
2021-05-01,55.4,Voiron Urbain
2021-06-01,56.5,Voiron Urbain
2021-07-01,47.3,Voiron Urbain
