Date,"particules PM2,5  (µg/m³)",Station
2020-02-07,,INSPIRA-MaisonProjet
2023-02-06,,INSPIRA-MaisonProjet
2020-03-01,12.1,St-Martin-d'Hères
2020-04-01,10,St-Martin-d'Hères
2020-05-01,6.2,St-Martin-d'Hères
2020-06-01,,St-Martin-d'Hères
2020-07-01,6.4,St-Martin-d'Hères
2020-08-01,5.5,St-Martin-d'Hères
2020-09-01,7.4,St-Martin-d'Hères
2020-10-01,7.2,St-Martin-d'Hères
2020-11-01,18.1,St-Martin-d'Hères
2020-12-01,13.8,St-Martin-d'Hères
2021-01-01,15.2,St-Martin-d'Hères
2021-02-01,18,St-Martin-d'Hères
2021-03-01,12.8,St-Martin-d'Hères
2021-04-01,8.3,St-Martin-d'Hères
2021-05-01,,St-Martin-d'Hères
2021-06-01,8.1,St-Martin-d'Hères
2021-07-01,7.1,St-Martin-d'Hères
2021-08-01,6.9,St-Martin-d'Hères
2021-09-01,8.2,St-Martin-d'Hères
2021-10-01,8.4,St-Martin-d'Hères
2021-11-01,15.6,St-Martin-d'Hères
2021-12-01,18.5,St-Martin-d'Hères
2022-01-01,27.6,St-Martin-d'Hères
2022-02-01,11,St-Martin-d'Hères
2022-03-01,19.2,St-Martin-d'Hères
2022-04-01,7.7,St-Martin-d'Hères
2022-05-01,7.9,St-Martin-d'Hères
2022-06-01,9.4,St-Martin-d'Hères
2022-07-01,8.2,St-Martin-d'Hères
2022-08-01,7.9,St-Martin-d'Hères
2022-09-01,5.2,St-Martin-d'Hères
2022-10-01,10,St-Martin-d'Hères
2022-11-01,10.8,St-Martin-d'Hères
2022-12-01,16.9,St-Martin-d'Hères
2023-01-01,15.9,St-Martin-d'Hères
2023-02-01,21.1,St-Martin-d'Hères
2020-03-01,11.5,Grenoble les Frênes
2020-04-01,10.4,Grenoble les Frênes
2020-05-01,7.6,Grenoble les Frênes
2020-06-01,7.1,Grenoble les Frênes
2020-07-01,9,Grenoble les Frênes
2020-08-01,8.6,Grenoble les Frênes
2020-09-01,7.3,Grenoble les Frênes
2020-10-01,6.4,Grenoble les Frênes
2020-11-01,14.9,Grenoble les Frênes
2020-12-01,11.8,Grenoble les Frênes
2021-01-01,13.6,Grenoble les Frênes
2021-02-01,15.9,Grenoble les Frênes
2021-03-01,11.7,Grenoble les Frênes
2021-04-01,7.8,Grenoble les Frênes
2021-05-01,3.8,Grenoble les Frênes
2021-06-01,8.1,Grenoble les Frênes
2021-07-01,6.9,Grenoble les Frênes
2021-08-01,6.3,Grenoble les Frênes
2021-09-01,,Grenoble les Frênes
2021-10-01,7.2,Grenoble les Frênes
2021-11-01,13.3,Grenoble les Frênes
2021-12-01,17.5,Grenoble les Frênes
2022-01-01,23.4,Grenoble les Frênes
2022-02-01,10.3,Grenoble les Frênes
2022-03-01,18.3,Grenoble les Frênes
2022-04-01,7.5,Grenoble les Frênes
2022-05-01,7.9,Grenoble les Frênes
2022-06-01,8.4,Grenoble les Frênes
2022-07-01,7.9,Grenoble les Frênes
2022-08-01,7.8,Grenoble les Frênes
2022-09-01,5.1,Grenoble les Frênes
2022-10-01,10.5,Grenoble les Frênes
2022-11-01,10.7,Grenoble les Frênes
2022-12-01,18.3,Grenoble les Frênes
2023-01-01,16.3,Grenoble les Frênes
2023-02-01,20,Grenoble les Frênes
2020-03-01,11.1,Gresivaudan Periurbain
2020-04-01,9.2,Gresivaudan Periurbain
2020-05-01,5.6,Gresivaudan Periurbain
2020-06-01,4.9,Gresivaudan Periurbain
2020-07-01,6,Gresivaudan Periurbain
2020-08-01,5.4,Gresivaudan Periurbain
2020-09-01,7.4,Gresivaudan Periurbain
2020-10-01,8.2,Gresivaudan Periurbain
2020-11-01,18.8,Gresivaudan Periurbain
2020-12-01,19.9,Gresivaudan Periurbain
2021-01-01,20.4,Gresivaudan Periurbain
2021-02-01,20.3,Gresivaudan Periurbain
2021-03-01,13.2,Gresivaudan Periurbain
2021-04-01,8.6,Gresivaudan Periurbain
2021-05-01,4,Gresivaudan Periurbain
2021-06-01,8.1,Gresivaudan Periurbain
2021-07-01,6.9,Gresivaudan Periurbain
2021-08-01,6,Gresivaudan Periurbain
2021-09-01,6.8,Gresivaudan Periurbain
2021-10-01,7.5,Gresivaudan Periurbain
2021-11-01,18,Gresivaudan Periurbain
2021-12-01,18.3,Gresivaudan Periurbain
2022-01-01,23,Gresivaudan Periurbain
