Date,particules PM10  (µg/m³),Station
2014-02-07,,INSPIRA-MaisonProjet
2017-02-06,,INSPIRA-MaisonProjet
2014-03-01,26,Voiron Urbain
2014-04-01,19,Voiron Urbain
2014-05-01,12,Voiron Urbain
2014-06-01,20,Voiron Urbain
2014-07-01,17,Voiron Urbain
2014-08-01,16,Voiron Urbain
2014-09-01,26,Voiron Urbain
2014-10-01,23,Voiron Urbain
2014-11-01,28,Voiron Urbain
2014-12-01,24,Voiron Urbain
2015-01-01,25,Voiron Urbain
2015-02-01,25,Voiron Urbain
2015-03-01,28,Voiron Urbain
2015-04-01,15,Voiron Urbain
2015-05-01,15,Voiron Urbain
2015-06-01,14,Voiron Urbain
2015-07-01,21,Voiron Urbain
2015-08-01,17,Voiron Urbain
2015-09-01,16,Voiron Urbain
2015-10-01,23,Voiron Urbain
2015-11-01,25,Voiron Urbain
2015-12-01,32,Voiron Urbain
2016-01-01,20,Voiron Urbain
2016-02-01,16,Voiron Urbain
2016-03-01,22,Voiron Urbain
2016-04-01,13,Voiron Urbain
2016-05-01,12,Voiron Urbain
2016-06-01,11,Voiron Urbain
2016-07-01,16,Voiron Urbain
2016-08-01,14,Voiron Urbain
2016-09-01,22,Voiron Urbain
2016-10-01,16,Voiron Urbain
2016-11-01,21,Voiron Urbain
2016-12-01,40,Voiron Urbain
2017-01-01,35,Voiron Urbain
2017-02-01,20,Voiron Urbain
2014-03-01,29,St-Martin-d'Hères
2014-04-01,23,St-Martin-d'Hères
2014-05-01,14,St-Martin-d'Hères
2014-06-01,19,St-Martin-d'Hères
2014-07-01,16,St-Martin-d'Hères
2014-08-01,17,St-Martin-d'Hères
2014-09-01,24,St-Martin-d'Hères
2014-10-01,,St-Martin-d'Hères
2014-11-01,23,St-Martin-d'Hères
2014-12-01,20,St-Martin-d'Hères
2015-01-01,21,St-Martin-d'Hères
2015-02-01,22,St-Martin-d'Hères
2015-03-01,25,St-Martin-d'Hères
2015-04-01,13,St-Martin-d'Hères
2015-05-01,13,St-Martin-d'Hères
2015-06-01,13,St-Martin-d'Hères
2015-07-01,18,St-Martin-d'Hères
2015-08-01,14,St-Martin-d'Hères
2015-09-01,13,St-Martin-d'Hères
2015-10-01,21,St-Martin-d'Hères
2015-11-01,25,St-Martin-d'Hères
2015-12-01,32,St-Martin-d'Hères
2016-01-01,19,St-Martin-d'Hères
2016-02-01,13,St-Martin-d'Hères
2016-03-01,21,St-Martin-d'Hères
2016-04-01,14,St-Martin-d'Hères
2016-05-01,13,St-Martin-d'Hères
2016-06-01,11,St-Martin-d'Hères
2016-07-01,14,St-Martin-d'Hères
2016-08-01,14,St-Martin-d'Hères
2016-09-01,19,St-Martin-d'Hères
2016-10-01,18,St-Martin-d'Hères
2016-11-01,21,St-Martin-d'Hères
2016-12-01,43,St-Martin-d'Hères
2017-01-01,36,St-Martin-d'Hères
2017-02-01,21,St-Martin-d'Hères
2014-03-01,28,Grenoble les Frênes
2014-04-01,21,Grenoble les Frênes
2014-05-01,13,Grenoble les Frênes
2014-06-01,21,Grenoble les Frênes
2014-07-01,16,Grenoble les Frênes
2014-08-01,16,Grenoble les Frênes
2014-09-01,22,Grenoble les Frênes
2014-10-01,22,Grenoble les Frênes
2014-11-01,26,Grenoble les Frênes
2014-12-01,23,Grenoble les Frênes
2015-01-01,25,Grenoble les Frênes
2015-02-01,25,Grenoble les Frênes
2015-03-01,29,Grenoble les Frênes
2015-04-01,16,Grenoble les Frênes
2015-05-01,15,Grenoble les Frênes
2015-06-01,16,Grenoble les Frênes
2015-07-01,23,Grenoble les Frênes
2015-08-01,18,Grenoble les Frênes
2015-09-01,15,Grenoble les Frênes
2015-10-01,25,Grenoble les Frênes
2015-11-01,29,Grenoble les Frênes
2015-12-01,37,Grenoble les Frênes
2016-01-01,23,Grenoble les Frênes
2016-02-01,18,Grenoble les Frênes
2016-03-01,25,Grenoble les Frênes
2016-04-01,13,Grenoble les Frênes
