code_insee,nom_commune
38057,Bresson
38059,Brié-et-Angonnes
38071,Champ-sur-Drac
38068,Champagnier
38111,Claix
38126,Corenc
38150,Domène
38151,Échirolles
38158,Eybens
38169,Fontaine
38170,Fontanil-Cornillon
38179,Gières
38185,Grenoble
38188,Herbeys
38200,Jarrie
38516,La Tronche
38187,Le Gua
38317,Le Pont-de-Claix
38471,Le Sappey-en-Chartreuse
38229,Meylan
38235,Miribel-Lanchâtre
38258,Mont-Saint-Martin
38252,Montchaboud
38271,Murianette
38277,Notre-Dame-de-Commiers
38279,Notre-Dame-de-Mésage
38281,Noyarey
38309,Poisat
38325,Proveysieux
38328,Quaix-en-Chartreuse
38364,Saint-Barthélemy-de-Séchilienne
38382,Saint-Égrève
38388,Saint-Georges-de-Commiers
38421,Saint-Martin-d'Hères
38423,Saint-Martin-le-Vinoux
38436,Saint-Paul-de-Varces
38445,Saint-Pierre-de-Mésage
38472,Sarcenas
38474,Sassenage
38478,Séchilienne
38485,Seyssinet-Pariset
38486,Seyssins
38524,Varces-Allières-et-Risset
38528,Vaulnaveys-le-Bas
38529,Vaulnaveys-le-Haut
38533,Venon
38540,Veurey-Voroize
38545,Vif
38562,Vizille
