id_lieu,geo_point_2d,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,xlong,ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm
38540-C-001,"45.2688739236629,5.61882050229529",Les Echalières 1,Route de Montaud,Veurey-Voroize,38540,Parking,2019-07-18,true,200040715,5.61882050229529,45.2688739236629,17,0,"","",Grenoble-Alpes Métropole,true,""
38540-C-002,"45.26779776779188,5.619226401021663",Les Echalières 2,Impasse des Echalières,Veurey-Voroize,38540,Parking,2019-07-18,true,200040715,5.619226401021663,45.26779776779188,13,0,"","",Grenoble-Alpes Métropole,true,""
38328-C-001,"45.25334912240552,5.719981039023554",Quaix Ecole,Route de Clémencière,Quaix-en-Chartreuse,38328,Parking,2019-07-18,true,200040715,5.719981039023554,45.25334912240552,10,0,"","",Grenoble-Alpes Métropole,true,""
38126-C-001,"45.23412697618231,5.750889334037775",Col de Vence,Route de la Chartreuse,Corenc,38126,Parking,2019-07-18,true,200040715,5.750889334037775,45.23412697618231,40,0,"","",Grenoble-Alpes Métropole,false,""
38471-C-001,"45.26004379593453,5.7768444470292",Ecole du Sappey,L'Eglise,Le Sappey-en-Chartreuse,38471,Parking,2019-07-18,true,200040715,5.7768444470292,45.26004379593453,40,2,"","",Grenoble-Alpes Métropole,true,""
38150-C-001,"45.20678,5.8473",P+R Les Arnauds,Rue des Contamines,Domène,38150,Parking relais,2019-07-18,true,200040715,5.8473,45.20678,40,1,"","",Grenoble-Alpes Métropole,true,""
38533-C-001,"45.17120397769095,5.806543496181449",Pré Bousson,L'Adret,Venon,38533,Parking,2019-07-18,true,200040715,5.806543496181449,45.17120397769095,5,0,"","",Grenoble-Alpes Métropole,false,""
38179-C-001,"45.177300685719395,5.792405630472532",Pied de Venon,Route de Venon,Gières,38179,Parking,2021-03-16,true,200040715,5.792405630472532,45.177300685719395,3,0,"","",Grenoble-Alpes Métropole,false,""
38179-C-002,"45.179364,5.788967",Gières Avenue Duhamel,Avenue Henri Duhamel,Gières,38179,Aire de covoiturage,2019-07-18,true,200040715,5.788967,45.179364,1,0,"","",Grenoble-Alpes Métropole,false,""
38421-C-001,"45.17349713647201,5.781166929080482",Le Mûrier,Route des Maquis,St-Martin-d'Hères,38421,Parking,2019-07-18,true,200040715,5.781166929080482,45.17349713647201,30,0,"","",Grenoble-Alpes Métropole,true,""
38059-C-001,"45.134555827191384,5.771343609753871",P+R Tavernolles,Route de Jarrie,Brié-et-Angonnes,38059,Parking relais,2019-07-18,true,200040715,5.771343609753871,45.134555827191384,36,1,"","",Grenoble-Alpes Métropole,true,""
