"Code commune - Code de la zone";"Code commune - Libellé de la zone";"Classe de véhicule";"Catégorie de véhicule";"Carburant";"Vignette Crit'Air";"Parc de véhicule au 1er janvier 2011 (en nombre de véhicules)";"Parc de véhicule au 1er janvier 2012 (en nombre de véhicules)";"Parc de véhicule au 1er janvier 2013 (en nombre de véhicules)";"Parc de véhicule au 1er janvier 2014 (en nombre de véhicules)";"Parc de véhicule au 1er janvier 2015 (en nombre de véhicules)";"Parc de véhicule au 1er janvier 2016 (en nombre de véhicules)";"Parc de véhicule au 1er janvier 2017 (en nombre de véhicules)";"Parc de véhicule au 1er janvier 2018 (en nombre de véhicules)";"Parc de véhicule au 1er janvier 2019 (en nombre de véhicules)";"Parc de véhicule au 1er janvier 2020 (en nombre de véhicules)";"Parc de véhicule au 1er janvier 2021 (en nombre de véhicules)";"Parc de véhicule au 1er janvier 2022 (en nombre de véhicules)"
"COMMUNE_CODE";"COMMUNE_LIBELLE";"CLASSE_VEHICULE";"CATEGORIE_VEHICULE";"CARBURANT";"CRITAIR";"PARC_2011";"PARC_2012";"PARC_2013";"PARC_2014";"PARC_2015";"PARC_2016";"PARC_2017";"PARC_2018";"PARC_2019";"PARC_2020";"PARC_2021";"PARC_2022"
"38XXX";"Commune fictive du département Isère";"vp";"Véhicule particulier";"Diesel";"Crit'Air 2";0;4;6;6;9;8;10;12;14;25;21;19
"38XXX";"Commune fictive du département Isère";"vp";"Véhicule particulier";"Diesel";"Crit'Air 3";14;19;17;15;15;15;18;19;14;16;13;11
"38XXX";"Commune fictive du département Isère";"vp";"Véhicule particulier";"Diesel";"Crit'Air 4";4;5;7;9;8;5;7;8;6;7;5;3
"38XXX";"Commune fictive du département Isère";"vp";"Véhicule particulier";"Diesel";"Crit'Air 5";2;3;3;1;1;1;3;2;2;2;2;2
"38XXX";"Commune fictive du département Isère";"vp";"Véhicule particulier";"Diesel";"Non classé";12;8;8;9;8;7;4;3;4;2;2;1
"38XXX";"Commune fictive du département Isère";"vp";"Véhicule particulier";"Hybride rechargeable";"Crit'Air 1";0;0;0;0;0;0;0;0;0;1;1;1
"38XXX";"Commune fictive du département Isère";"vp";"Véhicule particulier";"Essence";"Crit'Air 1";1;1;2;3;2;4;3;4;8;19;17;16
"38XXX";"Commune fictive du département Isère";"vp";"Véhicule particulier";"Essence";"Crit'Air 2";4;5;5;5;5;5;5;6;5;7;6;4
"38XXX";"Commune fictive du département Isère";"vp";"Véhicule particulier";"Essence";"Crit'Air 3";7;6;6;6;5;5;7;9;11;14;9;6
"38XXX";"Commune fictive du département Isère";"vp";"Véhicule particulier";"Essence";"Non classé";11;8;10;10;10;7;4;4;3;4;5;2
"38XXX";"Commune fictive du département Isère";"vp";"Véhicule particulier";"Essence HNR";"Crit'Air 1";0;0;0;0;0;0;0;0;0;1;1;1
"38001";"Les Abrets en Dauphiné";"vp";"Véhicule particulier";"Diesel";"Crit'Air 2";58;160;285;399;529;634;768;884;1002;1150;1229;1298
"38001";"Les Abrets en Dauphiné";"vp";"Véhicule particulier";"Diesel";"Crit'Air 3";658;737;739;768;790;785;786;769;779;775;726;717
"38001";"Les Abrets en Dauphiné";"vp";"Véhicule particulier";"Diesel";"Crit'Air 4";615;627;616;639;649;627;620;564;499;419;350;312
"38001";"Les Abrets en Dauphiné";"vp";"Véhicule particulier";"Diesel";"Crit'Air 5";281;276;256;235;233;220;181;171;143;112;91;77
"38001";"Les Abrets en Dauphiné";"vp";"Véhicule particulier";"Diesel";"Non classé";480;402;347;322;260;219;193;144;95;58;43;42
"38001";"Les Abrets en Dauphiné";"vp";"Véhicule particulier";"Diesel HNR";"Crit'Air 2";0;0;0;1;3;7;8;10;9;9;10;12
