OPERATEUR;FILIERE;Année;Code Commune;Nom Commune;Code EPCI;Nom EPCI;Type EPCI;Code Département;Nom Département;Code Région;Nom Région;CODE CATEGORIE CONSOMMATION;CODE GRAND SECTEUR;CODE SECTEUR NAF2;Nb sites;Conso totale (MWh);Conso moyenne (MWh);Nombre de mailles secretisées;Part thermosensible (%);Conso totale à usages thermosensibles (MWh);Conso totale à usages non thermosensibles (MWh);Thermosensibilité totale (kWh DJU);Conso totale corrigée de l'aléa climatique à usages thermosensibles (MWh);Conso moyenne à usages thermosensibles (MWh);Conso moyenne à usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh DJU);Conso moyenne corrigée de l'aléa climatique à usages thermosensibles (MWh);DJU à TR;DJU à TN;Nombre d'habitants;Taux de logements collectifs;Taux de résidences principales;Superficie des logements <30 m2;Superficie des logements 30 à 40 m2;Superficie des logements 40 à 60 m2;Superficie des logements 60 à 80 m2;Superficie des logements 80 à 100 m2;Superficie des logements >100 m2;Résidences principales avant 1919;Résidences principales de 1919 à 1945;Résidences principales de 1946 à 1970;Résidences principales de 1971 à 1990;Résidences principales de 1991 à 2005;Résidences principales de 2006 à 2015;Résidences principales après 2016;Taux de chauffage électrique
RTE;Electricité;2014;38071;Champ-sur-Drac;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;671093.2;671093.2;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
RTE;Electricité;2014;38158;Eybens;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;1322.43;1322.43;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Groupement Elise - Régie de Séchilienne;Electricité;2014;38478;Séchilienne;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INCONNU;;565;3224.0;5.70619469026549;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38057;Bresson;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INCONNU;;1;340.0;340.0;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38071;Champ-sur-Drac;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;655;11136.0;17.0015267175573;0;8.17e-05;;;4.226;;;;0.00645190839694657;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38111;Claix;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;6;2509.0;418.166666666667;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38126;Corenc;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;889;22475.0;25.281214848144;0;3.83e-05;;;5.184;;;;0.00583127109111361;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38158;Eybens;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;2;2229.0;1114.5;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38158;Eybens;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;8;7380.0;922.5;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38169;Fontaine;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;7607;100973.0;13.2736952806625;1;7.66e-05;;;30.972;;;;0.00407151308005784;;;;;;;;;;;;;;;;;;;;
