libelle_niv__4,date_releve,fluide,quantite_kwh
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-01-02T00:00:00,ELECTRICITE,"1425,54"
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-01-03T00:00:00,ELECTRICITE,"1126,9"
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-01-04T00:00:00,ELECTRICITE,"1281,95"
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-01-05T00:00:00,ELECTRICITE,"955,57"
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-01-06T00:00:00,ELECTRICITE,"790,96"
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-01-07T00:00:00,ELECTRICITE,"639,99"
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-01-08T00:00:00,ELECTRICITE,"463,77"
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-01-09T00:00:00,ELECTRICITE,"492,75"
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-01-10T00:00:00,ELECTRICITE,"695,4"
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-01-11T00:00:00,ELECTRICITE,"755,33"
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-01-12T00:00:00,ELECTRICITE,"1338,53"
ECOLE MATERNELLE GERARD PHILIPPE 1,2022-12-31T00:00:00,ELECTRICITE,"1341,59"
ECOLE MATERNELLE BAJATIERE,2022-03-16T00:00:00,ELECTRICITE,3676
ECOLE MATERNELLE BAJATIERE,2022-04-30T00:00:00,ELECTRICITE,1448
ECOLE MATERNELLE BAJATIERE,2022-06-30T00:00:00,ELECTRICITE,1941
ECOLE MATERNELLE BAJATIERE,2022-09-21T00:00:00,ELECTRICITE,1294
ECOLE MATERNELLE BAJATIERE,2022-05-11T00:00:00,ELECTRICITE,1115
ECOLE MATERNELLE BAJATIERE,2022-12-31T00:00:00,ELECTRICITE,2152
ECOLE MATERNELLE BUFFON,2022-01-19T00:00:00,ELECTRICITE,4651
ECOLE MATERNELLE BUFFON,2022-04-19T00:00:00,ELECTRICITE,6568
ECOLE MATERNELLE BUFFON,2022-05-19T00:00:00,ELECTRICITE,1477
ECOLE MATERNELLE BUFFON,2022-07-19T00:00:00,ELECTRICITE,3496
ECOLE MATERNELLE BUFFON,2022-09-19T00:00:00,ELECTRICITE,2861
ECOLE MATERNELLE BUFFON,2022-11-19T00:00:00,ELECTRICITE,4061
ECOLE MATERNELLE BUFFON,2022-12-31T00:00:00,ELECTRICITE,2992
ECOLE MATERNELLE CORNELIE GEMOND,2022-02-28T00:00:00,ELECTRICITE,2420
ECOLE MATERNELLE CORNELIE GEMOND,2022-04-30T00:00:00,ELECTRICITE,2221
ECOLE MATERNELLE CORNELIE GEMOND,2022-06-30T00:00:00,ELECTRICITE,2069
ECOLE MATERNELLE CORNELIE GEMOND,2022-08-31T00:00:00,ELECTRICITE,971
ECOLE MATERNELLE CORNELIE GEMOND,2022-10-20T00:00:00,ELECTRICITE,1725
ECOLE MATERNELLE CORNELIE GEMOND,2022-12-31T00:00:00,ELECTRICITE,2428
ECOLE MATERNELLE DRIANT,2022-01-02T00:00:00,ELECTRICITE,2336
ECOLE MATERNELLE DRIANT,2022-01-03T00:00:00,ELECTRICITE,1450
ECOLE MATERNELLE DRIANT,2022-01-04T00:00:00,ELECTRICITE,1947
ECOLE MATERNELLE DRIANT,2022-01-05T00:00:00,ELECTRICITE,1349
ECOLE MATERNELLE DRIANT,2022-01-06T00:00:00,ELECTRICITE,1318
ECOLE MATERNELLE DRIANT,2022-01-07T00:00:00,ELECTRICITE,1172
ECOLE MATERNELLE DRIANT,2022-01-08T00:00:00,ELECTRICITE,558
ECOLE MATERNELLE DRIANT,2022-01-09T00:00:00,ELECTRICITE,420
ECOLE MATERNELLE DRIANT,2022-01-10T00:00:00,ELECTRICITE,1574
ECOLE MATERNELLE DRIANT,2022-01-11T00:00:00,ELECTRICITE,1322
ECOLE MATERNELLE DRIANT,2022-01-12T00:00:00,ELECTRICITE,1701
ECOLE MATERNELLE DRIANT,2022-12-31T00:00:00,ELECTRICITE,1546
ECOLE MATERNELLE JARDIN DE VILLE,2022-01-31T00:00:00,ELECTRICITE,2763
