"identifiant";"Opérateur";"Millésime des données";"Énergie concernée";"Code géographique du territoire - Code de la zone";"Code géographique du territoire - Libellé de la zone";"Puissance totale installée sur le réseau (en MW)";"Puissance installée sur le réseau de la filière gaz naturel (en MWh)";"Puissance installée sur le réseau de la filière charbon (en MWh)";"Puissance installée sur le réseau de la filière fioul domestique (en MWh)";"Puissance installée sur le réseau de la filière fioul lourd (en MWh)";"Puissance installée sur le réseau de la filière gpl (en MWh)";"Puissance installée sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Puissance installée sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Puissance installée sur le réseau de la filière biogaz (en MWh)";"Puissance installée sur le réseau de la filière geothermie (en MWh)";"Puissance installée sur le réseau de la filière Pompes à chaleur (en MWh)";"Puissance installée sur le réseau de la filière solaire thermique (en MWh)";"Puissance installée sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Puissance installée sur le réseau de la filière autre chaleur recuperee (en MWh)";"Puissance installée sur le réseau de la filière chaudieres electriques (en MWh)";"Puissance installée sur le réseau de la filière autres (en MWh)";"Production totale thermique du réseau (en MW)";"Production thermique sur le réseau de la filière gaz naturel (en MWh)";"Production thermique sur le réseau de la filière charbon (en MWh)";"Production thermique sur le réseau de la filière fioul domestique (en MWh)";"Production thermique sur le réseau de la filière fioul lourd (en MWh)";"Production thermique sur le réseau de la filière gpl (en MWh)";"Production thermique sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Production thermique sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Production thermique sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Production thermique sur le réseau de la filière biogaz (en MWh)";"Production thermique sur le réseau de la filière geothermie (en MWh)";"Production thermique sur le réseau de la filière Pompes à chaleur (en MWh)";"Production thermique sur le réseau de la filière solaire thermique (en MWh)";"Production thermique sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Production thermique sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Production thermique sur le réseau de la filière autre chaleur recuperee (en MWh)";"Production thermique sur le réseau de la filière chaudieres electriques (en MWh)";"Production thermique sur le réseau de la filière autres (en MWh)";"Niveau de rejet de CO2 des réseaux (en kg/kWh)";"Pourcentage de chaleur produite par cogénération (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gaz naturel (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière charbon (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul domestique (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul lourd (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gpl (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière bois-énergie et résidus agricoles (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière déchets urbains incinérés en interne (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière biogaz (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière autres (en pourcent)";"Nombre de points de livraison";"Consommation totale (en MWh)";"Consommation dans le secteur résidentiel (en MWh)";"Consommation dans le secteur tertiaire (en MWh)";"Consommation dans le secteur industriel (en MWh)";"Consommation dans le secteur agricole (en MWh)";"Consommation non affectée dans l'un des quatres secteur (en MWh)"
"ID";"OPERATEUR";"ANNEE";"FILIERE";"COMMUNE_CODE";"COMMUNE_LIBELLE";"PUISSANCE";"PUISSANCE_GAZ_NATUREL";"PUISSANCE_CHARBON";"PUISSANCE_FIOUL_DOMESTIQUE";"PUISSANCE_FIOUL_LOURD";"PUISSANCE_GPL";"PUISSANCE_BIOMASSE_SOLIDE";"PUISSANCE_DECHETS_INTERNES";"PUISSANCE_UIOM";"PUISSANCE_BIOGAZ";"PUISSANCE_GEOTHERMIE";"PUISSANCE_PAC";"PUISSANCE_SOLAIRE_THERMIQUE";"PUISSANCE_AUTRES_ENR";"PUISSANCE_CHALEUR_INDUSTRIEL";"PUISSANCE_AUTRE_CHALEUR_RECUPEREE";"PUISSANCE_CHAUDIERES_ELECTRIQUES";"PUISSANCE_AUTRES";"PRODUCTION_TOTALE";"PRODUCTION_GAZ_NATUREL";"PRODUCTION_CHARBON";"PRODUCTION_FIOUL_DOMESTIQUE";"PRODUCTION_FIOUL_LOURD";"PRODUCTION_GPL";"PRODUCTION_BIOMASSE_SOLIDE";"PRODUCTION_DECHETS_INTERNES";"PRODUCTION_UIOM";"PRODUCTION_BIOGAZ";"PRODUCTION_GEOTHERMIE";"PRODUCTION_PAC";"PRODUCTION_SOLAIRE_THERMIQUE";"PRODUCTION_AUTRES_ENR";"PRODUCTION_CHALEUR_INDUSTRIEL";"PRODUCTION_AUTRE_CHALEUR_RECUPEREE";"PRODUCTION_CHAUDIERES_ELECTRIQUES";"PRODUCTION_AUTRES";"CONTENU_EN_CO2";"PCTCOG";"PCTCOG_GAZ_NATUREL";"PCTCOG_CHARBON";"PCTCOG_FIOUL_DOMESTIQUE";"PCTCOG_FIOUL_LOURD";"PCTCOG_GPL";"PCTCOG_BIOMASSE_SOLIDE";"PCTCOG_DECHETS_INTERNES";"PCTCOG_BIOGAZ";"PCTCOG_AUTRES";"PDL";"CONSOTOT";"CONSOR";"CONSOT";"CONSOI";"CONSOA";"CONSONA"
"0101C";"Quartier de La Reyssouze";"2018";"C";"01053";"Bourg-en-Bresse";39;34;;;;;5;;;;;;;;;;;;35386;25580;;;;;9806;;;;;;;;;;;;0.158955304;34.714;48.22;;;;;;;;;55;31837;25470;6367;;;
"0102C";"Réseau de chaleur d'Hauteville Lompnes";"2018";"C";"01185";"Hauteville-Lompnes";5.4;;;;;;5.4;;;;;;;;;;;;4721.223967;;;;;;4721.223967;;;;;;;;;;;;;;;;;;;;;;;20;4721;1188;3533;;;
"0103C";"Oyonnax BioChaleur";"2018";"C";"01283";"Oyonnax";38.71;27.71;;;;;11;;;;;;;;;;;;54155.08;15158.08;;;;;38997;;;;;;;;;;;;0.057744686;15.773;56.353;;;;;;;;;86;43045;32284;10761;;;
"0105C";"Réseau de saint-denis-les-bourg";"2018";"C";"01344";"Saint-Denis-lès-Bourg";1.65;0.75;;;;;0.9;;;;;;;;;;;;1698;280;;;;;1418;;;;;;;;;;;;0.04489682;;;;;;;;;;;13;"secret";"secret";270;;;
"0106C";"Belena";"2018";"C";"01034";"Belley";13.5;9;;;;;4.5;;;;;;;;;;;;12805;1386;;;;;11419;;;;;;;;;;;;0.029192383;;;;;;;;;;;28;10700;5885;4387;428;;
"0107C";"xavier chirol";"2018";"C";"01426";"Val-Revermont";;;;;;;;;;;;;;;;;;;559.86;;;;;;559.86;;;;;;;;;;;;;;;;;;;;;;;19;563;;;;;563
"0108C";"Bourg-en-Bresse - La Vinaigrerie";"2018";"C";"01053";"Bourg-en-Bresse";9.1;5.6;;;;;3.5;;;;;;;;;;;;11371.5371;1774.8315;;;;;9596.7056;;;;;;;;;;;;0.038005751;;;;;;;;;;;21;"secret";"secret";9148;;;
"0201C";"Zup du Quartier Europe";"2018";"C";"02691";"Saint-Quentin";30.5;22.5;;;;;8;;;;;;;;;;;;55363;24721;;;;;30642;;;;;;;;;;;;0.084892697;27.482;61.547;;;;;;;;;49;51252;33826;17426;;;
"0202C";"Zup de Presles";"2018";"C";"02722";"Soissons";33.3;20;;8;;;5.3;;;;;;;;;;;;33667.89;15572;;0.89;;;18095;;;;;;;;;;;;0.107371356;20.277;43.842;;;;;;;;;55;28987;23190;5797;;;
"0203C";"Réseau de Laon";"2018";"C";"02046";"Barenton-Bugny";2.1;1.4;;;;;0.7;;;;;;;;;;;;1700;270;;;;;1430;;;;;;;;;;;;0.040055921;;;;;;;;;;;3;1520;;1520;;;
"0204C";"Réseau d'Urcel";"2018";"C";"02755";"Urcel";0.4;;;;;0.2;0.2;;;;;;;;;;;;399.69;;;;;59.13;340.56;;;;;;;;;;;;0.037683292;;;;;;;;;;;5;"secret";"secret";132;;;
"0205C";"Réseau de Château Thierry";"2018";"C";"02168";"Château-Thierry";24;16;;;;;8;;;;;;;;;;;;30070.21;4327.83;;;;;25742.38;;;;;;;;;;;;0.037113945;;;;;;;;;;;32;26561;12749;13812;;;
"0301C";"SDC Moulins CHAMPINS";"2018";"C";"03190";"Moulins";34.2;25;;0.2;;;9;;;;;;;;;;;;41266.01;13263;;347.99;;;27655.02;;;;;;;;;;;;0.060439367;18.936;58.916;;;;;;;;;64;39310;;;;;39310
"0302C";"Quartier Fontbouillant et Bien-Assis";"2018";"C";"03185";"Montluçon";35.9;28.8;;;;;7.1;;;;;;;;;;;;37528;21372;;;;;16156;;;;;;;;;;;;0.154047436;17.384;3.526;;;;;;;;;39;30093;22570;7523;;;
"0303C";"Réseau de Cerilly";"2018";"C";"03048";"Cérilly";0.4;;;;;;0.4;;;;;;;;;;;;833.34;;;;;;833.34;;;;;;;;;;;;;;;;;;;;;;;4;930;;;;;930
"0304C";"Réseau de Meaulne";"2018";"C";"03168";"Meaulne-Vitray";0.5;;;;;;0.5;;;;;;;;;;;;1896.3;;;;;;1896.3;;;;;;;;;;;;;;;;;;;;;;;11;"secret";"secret";213;;;
"0305C";"Réseau du Mayet-de-Montagne";"2018";"C";"03165";"Le Mayet-de-Montagne";2.42;;;1.6;;;0.82;;;;;;;;;;;;2341;;;38;;;2303;;;;;;;;;;;;0.006282548;;;;;;;;;;;19;1805;;;;;1805
