num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20050522,9.6,9,15.4,1,,,23.3,1,,,,,19.4,1,7.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20070129,0,9,-4.1,1,,,1.4,1,,,,,-1.4,1,5.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060214,0,9,-0.8,1,,,12.5,1,,,,,5.9,1,13.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20070325,0,9,3.4,1,,,13.1,1,,,,,8.3,1,9.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090918,0.6,1,12.4,1,,,23.1,1,,,,,17.8,1,10.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060816,2.8,9,15.8,1,,,28,1,,,,,21.9,1,12.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20050916,0.7,9,13.8,1,,,27.7,1,,,,,20.8,1,13.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20091230,11.1,1,5.4,1,,,11.4,1,,,,,8.4,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20050123,18.4,9,2.2,1,,,5.2,1,,,,,3.7,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20080725,0,1,16.8,1,,,31.2,1,,,,,24,1,14.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060324,5.5,9,8.8,1,,,13.5,1,,,,,11.2,1,4.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090507,0,1,9,1,,,29.7,1,,,,,19.4,1,20.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20080426,0,1,7.9,1,,,25.2,1,,,,,16.6,1,17.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20070609,0,9,17.5,1,,,31.4,1,,,,,24.5,1,13.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20050711,0,9,14.2,1,,,27.8,1,,,,,21,1,13.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090830,0,1,10.7,1,,,26.5,1,,,,,18.6,1,15.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090606,3.7,1,14.3,1,,,20.6,1,,,,,17.5,1,6.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20070808,21.7,1,14.6,1,,,18.2,1,,,,,16.4,1,3.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20070814,0,1,16.6,1,,,31.2,1,,,,,23.9,1,14.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20050319,0,9,4.3,1,,,24.9,1,,,,,14.6,1,20.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060803,6.9,9,16.3,1,,,20.7,1,,,,,18.5,1,4.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20051224,0,9,-5.2,1,,,4.1,1,,,,,-0.6,1,9.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20050801,4.2,9,14.5,1,,,27.9,1,,,,,21.2,1,13.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090701,0,1,18.3,1,,,33.8,1,,,,,26.1,1,15.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090722,0.4,1,26.9,1,,,37.3,1,,,,,32.1,1,10.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20081016,3.3,1,12.2,1,,,17.5,1,,,,,14.9,1,5.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060809,0,9,16.4,1,,,26.4,1,,,,,21.4,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20070904,0,1,13.5,1,,,22.5,1,,,,,18,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20051121,0,9,-4.2,1,,,5.3,1,,,,,0.6,1,9.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20071221,0,1,-6.6,1,,,-1.9,1,,,,,-4.3,1,4.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20070514,25.7,9,10.1,1,,,17.4,1,,,,,13.8,1,7.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20050329,1.9,9,10.2,1,,,20.5,1,,,,,15.4,1,10.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060127,5.8,9,-1.5,1,,,1.1,1,,,,,-0.2,1,2.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20080129,0,1,-2.7,1,,,13,1,,,,,5.2,1,15.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20051031,11.2,9,8.6,1,,,24,1,,,,,16.3,1,15.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060516,0.8,9,13.5,1,,,26,1,,,,,19.8,1,12.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20091022,9.3,1,8.1,1,,,17.3,1,,,,,12.7,1,9.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20071008,0,1,12.2,1,,,20.7,1,,,,,16.5,1,8.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20051001,5.8,9,8.7,1,,,17.8,1,,,,,13.3,1,9.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060123,0,9,-1.4,1,,,4,1,,,,,1.3,1,5.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20080801,15.1,1,19.1,1,,,26.3,1,,,,,22.7,1,7.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20080123,0,1,0.4,1,,,8.6,1,,,,,4.5,1,8.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060528,0,9,14.1,1,,,29.5,1,,,,,21.8,1,15.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060130,0,9,-1.5,1,,,8.3,1,,,,,3.4,1,9.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20070810,0,1,10.9,1,,,22.2,1,,,,,16.6,1,11.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
