type,geo_point_2d,id,code,city,name,visible,epci
clusters,"45.13625,5.69496",SEM:120TOISE,SEM:GEN120TOISE,Le Pont-de-Claix,120 Toises,1,LaMetro
clusters,"45.20341,5.71433",SEM:16AOUT44,SEM:GEN16AOUT44,Saint-Martin-le-Vinoux,Résistance,1,LaMetro
clusters,"45.17106,5.75682",SEM:8MAI1945,SEM:GEN8MAI1945,Saint-Martin-d'Hères,8 mai 1945,1,LaMetro
clusters,"45.18388,5.71174",SEM:ABBEGREG,SEM:GENABBEGREG,Grenoble,Abbé Grégoire,1,LaMetro
clusters,"45.14292,5.71527",SEM:ADELAUNE,SEM:GENADELAUNE,Échirolles,Auguste Delaune,1,LaMetro
clusters,"45.20556,5.76449",SEM:AIGUIHEX,SEM:GENAIGUIHEX,Meylan,Aiguinards-Hexagone,1,LaMetro
clusters,"45.18168,5.73167",SEM:ALB1BELG,SEM:GENALB1BELG,Grenoble,Albert 1er de Belgique,1,LaMetro
clusters,"45.13148,5.81903",SEM:ALBERGES,SEM:GENALBERGES,Vaulnaveys-le-Haut,Les Alberges,1,LaMetro
clusters,"45.05795,5.68472",SEM:ALEGRANG,SEM:GENALEGRANG,Vif,Allée des Granges,1,LaMetro
clusters,"45.18422,5.71064",SEM:ALEMBERT,SEM:GENALEMBERT,Grenoble,D'Alembert,1,LaMetro
clusters,"45.08152,5.76865",SEM:ALLIANCE,SEM:GENALLIANCE,Vizille,L'Alliance,1,LaMetro
clusters,"45.17398,5.71427",SEM:ALLIES,SEM:GENALLIES,Grenoble,Alliés,1,LaMetro
clusters,"45.17204,5.76518",SEM:ALLOVES,SEM:GENALLOVES,Saint-Martin-d'Hères,Les Alloves,1,LaMetro
clusters,"45.15449,5.73379",SEM:ALPEXPO,SEM:GENALPEXPO,Eybens,Alpexpo,1,LaMetro
clusters,"45.18911,5.7193",SEM:ALSACELO,SEM:GENALSACELO,Grenoble,Alsace-Lorraine,1,LaMetro
clusters,"45.17186,5.70495",SEM:ANATFRAN,SEM:GENANATFRAN,Grenoble,Anatole France,1,LaMetro
clusters,"45.19272,5.67806",SEM:ANCIEMAI,SEM:GENANCIEMAI,Fontaine,Ancienne Mairie,1,LaMetro
clusters,"45.15978,5.68178",SEM:ANCIGARE,SEM:GENANCIGARE,Seyssins,Ancienne Gare,1,LaMetro
clusters,"45.21793,5.77933",SEM:ANCMAIRI,SEM:GENANCMAIRI,Meylan,Ancienne Mairie,1,LaMetro
clusters,"45.13993,5.77617",SEM:ANGONNES,SEM:GENANGONNES,Brié-et-Angonnes,Les Angonnes,1,LaMetro
clusters,"45.17782,5.77786",SEM:ANGUISSE,SEM:GENANGUISSE,Saint-Martin-d'Hères,Anguisses,1,LaMetro
clusters,"45.09462,5.74417",SEM:ANMAL,SEM:GENANMAL,Jarrie,André Malraux,1,LaMetro
clusters,"45.19709,5.71174",SEM:ARAGO,SEM:GENARAGO,Grenoble,Arago,1,LaMetro
clusters,"45.18551,5.69465",SEM:ARBERGES,SEM:GENARBERGES,Seyssinet-Pariset,Aristide Bergès,1,LaMetro
clusters,"45.15433,5.68029",SEM:ARGOUD,SEM:GENARGOUD,Seyssins,L'Argoud,1,LaMetro
clusters,"45.17537,5.74447",SEM:ARGOUGES,SEM:GENARGOUGES,Grenoble,André Argouges,1,LaMetro
clusters,"45.16359,5.73047",SEM:ARLEQUIN,SEM:GENARLEQUIN,Grenoble,Arlequin,1,LaMetro
clusters,"45.20683,5.84788",SEM:ARNAUDS,SEM:GENARNAUDS,Domène,Les Arnauds,1,LaMetro
clusters,"44.99692,5.60258",SEM:ARZELIER,SEM:GENARZELIER,Le Gua,L'Arzelier,1,LaMetro
clusters,"45.14483,5.70962",SEM:AUGUFERR,SEM:GENAUGUFERR,Échirolles,Auguste Ferrier,1,LaMetro
clusters,"45.18399,5.73965",SEM:AUGURAVI,SEM:GENAUGURAVI,Grenoble,Auguste Ravier,1,LaMetro
clusters,"45.14279,5.73589",SEM:AVREPUB,SEM:GENAVREPUB,Bresson,Avenue de la République,1,LaMetro
clusters,"45.16681,5.70594",SEM:BACHELAR,SEM:GENBACHELAR,Grenoble,Bachelard,1,LaMetro
clusters,"45.17813,5.73614",SEM:BAJATIER,SEM:GENBAJATIER,Grenoble,Bajatière,1,LaMetro
clusters,"45.12521,5.68811",SEM:BALMETTE,SEM:GENBALMETTE,Claix,La Balmette,1,LaMetro
clusters,"45.08728,5.69421",SEM:BALZAZ,SEM:GENBALZAZ,Varces-Allières-et-Risset,Balzac,1,LaMetro
clusters,"45.21726,5.71279",SEM:BANCHARD,SEM:GENBANCHARD,Saint-Martin-le-Vinoux,La Banchardière,1,LaMetro
clusters,"45.25801,5.70815",SEM:BARBET,SEM:GENBARBET,Quaix-en-Chartreuse,Le Barbet,1,LaMetro
clusters,"45.23097,5.69175",SEM:BARNA,SEM:GENBARNA,Saint-Égrève,Collège Barnave,1,LaMetro
clusters,"45.07181,5.65496",SEM:BASCULE,SEM:GENBASCULE,Saint-Paul-de-Varces,La Bascule,1,LaMetro
clusters,"45.25288,5.74174",SEM:BASMONT,SEM:GENBASMONT,Quaix-en-Chartreuse,Bas de Mont-Quaix,1,LaMetro
clusters,"45.25635,5.71059",SEM:BASPET,SEM:GENBASPET,Quaix-en-Chartreuse,Bas de Petesset,1,LaMetro
clusters,"45.25399,5.70142",SEM:BASQUAIX,SEM:GENBASQUAIX,Quaix-en-Chartreuse,Le Bas de Quaix,1,LaMetro
clusters,"45.20444,5.7376",SEM:BASTILLE,SEM:GENBASTILLE,La Tronche,Bastille,1,LaMetro
clusters,"45.11083,5.67865",SEM:BAUCHES,SEM:GENBAUCHES,Claix,Les Bauches,1,LaMetro
clusters,"44.97996,5.62235",SEM:BAYANNE,SEM:GENBAYANNE,Miribel-Lanchâtre,Bayanne,1,LaMetro
clusters,"45.14591,5.70478",SEM:BAYARD,SEM:GENBAYARD,Échirolles,Bayard,1,LaMetro
clusters,"45.26586,5.6998",SEM:BAZE,SEM:GENBAZE,Proveysieux,Le Bazeau,1,LaMetro
clusters,"45.21153,5.7907",SEM:BEALIERE,SEM:GENBEALIERE,Meylan,Les Béalières,1,LaMetro
clusters,"45.12535,5.67234",SEM:BEAU,SEM:GENBEAU,Claix,Beau Dunois,1,LaMetro
clusters,"45.13855,5.77355",SEM:BEAULIEU,SEM:GENBEAULIEU,Brié-et-Angonnes,Beaulieu,1,LaMetro
clusters,"45.21009,5.64861",SEM:BEAUREVO,SEM:GENBEAUREVO,Sassenage,Beaurevoir,1,LaMetro
clusters,"45.17591,5.69696",SEM:BEAUSITE,SEM:GENBEAUSITE,Seyssinet-Pariset,Beau Site,1,LaMetro
clusters,"45.16417,5.71792",SEM:BEAUVERT,SEM:GENBEAUVERT,Grenoble,Beauvert,1,LaMetro
clusters,"45.15899,5.68325",SEM:BEAUVOIR,SEM:GENBEAUVOIR,Seyssins,Beauvoir,1,LaMetro
clusters,"45.16106,5.75525",SEM:BELAIR,SEM:GENBELAIR,Eybens,Bel Air,1,LaMetro
clusters,"45.22268,5.684",SEM:BELLEDON,SEM:GENBELLEDON,Saint-Égrève,Belledonne,1,LaMetro
clusters,"45.24406,5.69244",SEM:BELLEVU,SEM:GENBELLEVU,Saint-Égrève,Bellevue,1,LaMetro
clusters,"45.11196,5.66548",SEM:BELLEVUE,SEM:GENBELLEVUE,Claix,Bellevue,1,LaMetro
clusters,"45.1765,5.68821",SEM:BELVEDER,SEM:GENBELVEDER,Seyssinet-Pariset,Belvédère,1,LaMetro
clusters,"45.18417,5.69071",SEM:BERGVERC,SEM:GENBERGVERC,Seyssinet-Pariset,Bergès - Vercors,1,LaMetro
clusters,"45.21882,5.78312",SEM:BERIVIER,SEM:GENBERIVIER,Meylan,Bérivière,1,LaMetro
clusters,"45.08998,5.69249",SEM:BERLIOGN,SEM:GENBERLIOGN,Varces-Allières-et-Risset,Berliognière,1,LaMetro
clusters,"45.18878,5.70588",SEM:BERRIAT,SEM:GENBERRIAT,Grenoble,Berriat-Le Magasin,1,LaMetro
clusters,"45.2748,5.61283",SEM:BERYL,SEM:GENBERYL,Veurey-Voroize,Le Béryl,1,LaMetro
clusters,"45.19246,5.7709",SEM:BIBLIUNI,SEM:GENBIBLIUNI,Gières,Bibliothèques Universitaires,1,LaMetro
clusters,"45.23522,5.66953",SEM:BIOLLE,SEM:GENBIOLLE,Saint-Égrève,La Biolle - Gare,1,LaMetro
clusters,"45.19195,5.77474",SEM:BIOLOGIE,SEM:GENBIOLOGIE,Gières,Universités - Biologie,1,LaMetro
clusters,"45.18886,5.73639",SEM:BIRHAKEI,SEM:GENBIRHAKEI,Grenoble,Bir Hakeim,1,LaMetro
clusters,"45.21064,5.65625",SEM:BLANCFON,SEM:GENBLANCFON,Sassenage,Blanc Fontaine,1,LaMetro
clusters,"45.17585,5.75684",SEM:BLANCHON,SEM:GENBLANCHON,Saint-Martin-d'Hères,Parc Jo Blanchon,1,LaMetro
clusters,"45.24058,5.67257",SEM:BONNAIS,SEM:GENBONNAIS,Saint-Égrève,Les Bonnais,1,LaMetro
clusters,"45.17875,5.7509",SEM:BONPASTE,SEM:GENBONPASTE,Grenoble,Bon Pasteur,1,LaMetro
clusters,"45.18077,5.69437",SEM:BOUCHDV,SEM:GENBOUCHDV,Seyssinet-Pariset,Bouchayer - Hôtel de Ville,1,LaMetro
clusters,"45.11962,5.66899",SEM:BOULODRO,SEM:GENBOULODRO,Claix,Boulodrome-Ecole,1,LaMetro
clusters,"45.19187,5.81647",SEM:BOURG,SEM:GENBOURG,Murianette,Le Bourg,1,LaMetro
clusters,"45.15765,5.68975",SEM:BOURNET,SEM:GENBOURNET,Seyssins,Le Bournet,1,LaMetro
clusters,"45.1377,5.74771",SEM:BRESSON,SEM:GENBRESSON,Bresson,Bresson Mairie,1,LaMetro
clusters,"45.11528,5.78405",SEM:BRIE,SEM:GENBRIE,Brié-et-Angonnes,Mont Rolland,1,LaMetro
clusters,"45.11784,5.78285",SEM:BRIECOLE,SEM:GENBRIECOLE,Brié-et-Angonnes,L'Olympe,1,LaMetro
clusters,"45.11119,5.78653",SEM:BRIEGLIS,SEM:GENBRIEGLIS,Brié-et-Angonnes,Brié Église,1,LaMetro
clusters,"45.19299,5.81948",SEM:BRIOT,SEM:GENBRIOT,Murianette,La Briot,1,LaMetro
clusters,"45.16635,5.73118",SEM:BRUYERE,SEM:GENBRUYERE,Grenoble,La Bruyère-Parc Jean Verlhac,1,LaMetro
clusters,"45.21581,5.77226",SEM:BUCLOS,SEM:GENBUCLOS,Corenc,Buclos,1,LaMetro
clusters,"45.22308,5.71778",SEM:BUIS,SEM:GENBUIS,Saint-Martin-le-Vinoux,La Buisseratière,1,LaMetro
clusters,"45.20884,5.79756",SEM:BUSSEROL,SEM:GENBUSSEROL,Meylan,Busserolles,1,LaMetro
clusters,"45.1815,5.72195",SEM:CAB,SEM:GENCAB,Grenoble,Colonel Dumont,1,LaMetro
clusters,"45.08593,5.77127",SEM:CAMPVIZ,SEM:GENCAMPVIZ,Vizille,Camping,1,LaMetro
clusters,"45.05212,5.7104",SEM:CANAL,SEM:GENCANAL,Saint-Georges-de-Commiers,Le Canal,1,LaMetro
clusters,"45.24018,5.66619",SEM:CAP38,SEM:GENCAP38,Saint-Égrève,Cap38,1,LaMetro
