IRIS,DISP_TP6021,DISP_INCERT21,DISP_Q121,DISP_MED21,DISP_Q321,DISP_EQ21,DISP_D121,DISP_D221,DISP_D321,DISP_D421,DISP_D621,DISP_D721,DISP_D821,DISP_D921,DISP_RD21,DISP_S80S2021,DISP_GI21,DISP_PACT21,DISP_PTSA21,DISP_PCHO21,DISP_PBEN21,DISP_PPEN21,DISP_PPAT21,DISP_PPSOC21,DISP_PPFAM21,DISP_PPMINI21,DISP_PPLOGT21,DISP_PIMPOT21,DISP_NOTE21
381110101,"9,0",2,19680,25680,32300,"0,49",14560,18440,21100,23340,27880,30760,34150,39440,"2,7","3,3","0,237","74,6","67,5","2,2","4,9","28,7","9,0","4,0","1,8","1,5","0,7","-16,3",0
381110102,"4,0",1,23760,30880,40150,"0,53",17860,22080,25210,27760,34310,38010,43790,53240,"3,0","3,6","0,258","78,0","71,0","2,0","5,0","29,1","11,6","2,2","1,0","0,8","0,4","-20,9",0
381110103,"3,0",1,25420,31930,42100,"0,52",20020,24140,26730,29260,35440,39280,44500,56500,"2,8","4,6","0,334","72,5","62,6","1,6","8,3","25,5","21,6","1,4","0,8","0,4","0,2","-21,0",0
381500101,"10,0",1,18150,22970,29400,"0,49",13970,17050,19330,21270,25090,27930,31420,36770,"2,6","3,1","0,225","76,2","70,3","2,8","3,1","27,7","6,0","4,7","1,8","2,0","0,9","-14,6",0
381500102,"8,0",1,20150,25370,32500,"0,49",14870,18680,21130,23190,27760,30690,34560,40270,"2,7","3,1","0,223","78,0","72,6","2,0","3,4","27,1","7,1","3,8","1,6","1,5","0,7","-16,0",0
381510101,"11,0",2,18550,24130,32100,"0,56",13540,16860,19910,21870,26660,30320,34250,41980,"3,1","3,6","0,250","56,1","50,4","2,0","3,7","46,7","9,6","3,5","1,4","1,4","0,7","-15,9",0
381510102,ns,so,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,so,so,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,so
381510103,"35,0",1,12330,16820,22730,"0,62",8970,11500,13290,14840,19030,21340,24630,30340,"3,4","3,7","0,259","60,6","54,6","4,2","1,8","31,4","4,7","14,3","4,2","6,8","3,3","-11,0",0
381510104,"15,0",1,16580,21210,26800,"0,48",12000,15460,17590,19550,23240,25480,28030,32010,"2,7","3,1","0,216","68,2","63,3","2,6","2,3","34,4","5,4","4,9","2,0","2,1","0,8","-12,9",0
381510201,ns,so,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,so,so,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,so
